2.1040000e+03,3.0000000e+00,3.9990000e+05
1.6000000e+03,3.0000000e+00,3.2990000e+05
2.4000000e+03,3.0000000e+00,3.6900000e+05
1.4160000e+03,2.0000000e+00,2.3200000e+05
3.0000000e+03,4.0000000e+00,5.3990000e+05
1.9850000e+03,4.0000000e+00,2.9990000e+05
1.5340000e+03,3.0000000e+00,3.1490000e+05
1.4270000e+03,3.0000000e+00,1.9899900e+05
1.3800000e+03,3.0000000e+00,2.1200000e+05
1.4940000e+03,3.0000000e+00,2.4250000e+05
1.9400000e+03,4.0000000e+00,2.3999900e+05
2.0000000e+03,3.0000000e+00,3.4700000e+05
1.8900000e+03,3.0000000e+00,3.2999900e+05
4.4780000e+03,5.0000000e+00,6.9990000e+05
1.2680000e+03,3.0000000e+00,2.5990000e+05
2.3000000e+03,4.0000000e+00,4.4990000e+05
1.3200000e+03,2.0000000e+00,2.9990000e+05
1.2360000e+03,3.0000000e+00,1.9990000e+05
2.6090000e+03,4.0000000e+00,4.9999800e+05
3.0310000e+03,4.0000000e+00,5.9900000e+05
1.7670000e+03,3.0000000e+00,2.5290000e+05
1.8880000e+03,2.0000000e+00,2.5500000e+05
1.6040000e+03,3.0000000e+00,2.4290000e+05
1.9620000e+03,4.0000000e+00,2.5990000e+05
3.8900000e+03,3.0000000e+00,5.7390000e+05
1.1000000e+03,3.0000000e+00,2.4990000e+05
1.4580000e+03,3.0000000e+00,4.6450000e+05
